;POMO3;AURE3;BBAS3;ITUB3;IBOV;SELIC
Data;Fechamento;Fechamento;Fechamento;Fechamento;Fechamento;Fechamento
18/11/2024;6,482382435;9,734857796;24,0306668;24,51799784;127768,19;11,15
19/11/2024;6,500514974;9,824259551;24,16152224;24,78359565;128197,25;11,15
21/11/2024;6,591177665;9,665323097;23,61006003;24,4017988;126922,11;11,15
22/11/2024;6,600243934;9,873927193;23,92785181;24,48479811;129125,51;11,15
25/11/2024;6,53678005;10,31100244;24,06805407;24,54289763;129036,1;11,15
26/11/2024;6,563978858;10,49973948;24,4522257;24,89149476;129922,38;11,15
27/11/2024;6,416058207;10,07259776;24,02357351;24,26069996;127668,61;11,15
28/11/2024;5,944561134;9,734857796;23,31867881;23,62160523;124610,41;11,15
29/11/2024;5,898335931;9,794458966;23,59492133;23,67140482;125667,83;11,15
02/12/2024;5,87984585;9,46665253;23,40440925;23,37877563;125235,54;11,15
03/12/2024;5,87984585;9,556054286;23,69017737;23,51165677;126139,2;11,15
04/12/2024;6,120216907;9,436851945;23,97594549;23,75250384;126087,02;11,15
05/12/2024;6,184932191;9,5262537;24,27123922;24,20097769;127857,58;11,15
06/12/2024;5,805885525;9,397117832;23,55681891;24,00996105;125945,67;11,15
09/12/2024;5,926071053;9,357383718;23,49966529;23,86046977;127210,19;11,15
10/12/2024;6,009276419;9,5262537;23,65207495;24,15479387;128228,49;11,15
11/12/2024;6,147952029;9,506386644;24,15693197;24,55779356;129593,31;11,15
12/12/2024;5,944561134;9,089178452;23,83701817;23,97848151;126042,21;12,15
13/12/2024;5,768905362;9,049444339;23,51087788;23,68462757;124612,22;12,15
16/12/2024;5,676454956;8,969976112;23,17514523;23,09691969;123560,06;12,15
17/12/2024;5,713435118;9,049444339;23,42454663;23,39077363;124698,04;12,15
18/12/2024;5,408348777;8,721637903;22,77226605;22,76948244;120771,88;12,15
19/12/2024;5,362123574;8,890507885;22,91615147;22,97937811;121187,91;12,15
20/12/2024;5,232693005;8,930241999;23,09840634;23,12210717;122102,15;12,15
23/12/2024;4,992321948;8,711704375;22,94492856;22,71910748;120766,57;12,15
26/12/2024;5,103262436;8,622302619;23,21351468;22,83664906;121077,5;12,15
27/12/2024;5,195712842;8,642169676;23,12718343;22,62675339;120269,31;12,15
30/12/2024;5,204957883;8,711704375;23,18473759;22,58477425;120283,4;12,15
02/01/2025;5,389858696;8,542834392;22,94492856;22,56599726;120125,39;12,15
03/01/2025;5,241938045;8,364030882;22,77226605;22,17113431;118532,68;12,15
06/01/2025;5,204957883;8,37396441;22,983298;23,2381044;120021,52;12,15
07/01/2025;5,362123574;8,304429712;23,26147649;23,31371645;121162,66;12,15
08/01/2025;5,140242598;8,085892088;23,17514523;23,03647226;119624,51;12,15
09/01/2025;5,269673167;7,946822691;23,28066121;22,99446556;119780,56;12,15
10/01/2025;5,130997558;7,82762035;23,22310704;22,78443208;118856,48;12,15
13/01/2025;5,112507476;7,718351538;23,22310704;22,92725485;119006,93;12,15
14/01/2025;5,325143411;7,748152123;23,64517094;22,98606422;119298,67;12,15
15/01/2025;5,722680159;7,877287992;24,23989735;23,85140216;122650,2;12,15
16/01/2025;5,491554143;7,70841801;24,34541333;23,6665727;121234,14;12,15
17/01/2025;5,510044224;7,728285067;24,31663624;23,79259279;122350,38;12,15
20/01/2025;5,482309102;7,718351538;24,39337514;24,01102761;122855,15;12,15
21/01/2025;5,713435118;7,738218595;24,61399945;24,01942895;123338,34;12,15
22/01/2025;5,889090891;7,817686822;25,06484044;23,89340886;122971,77;12,15
23/01/2025;5,898335931;7,628949783;25,63078976;23,8598035;122483,32;12,15
24/01/2025;5,815130565;7,549481556;25,53486615;23,92701422;122446,94;12,15
27/01/2025;5,796640484;7,917022106;26,58043354;24,53191065;124861,5;12,15
28/01/2025;5,750415281;7,748152123;26,40777104;24,53191065;124055,5;12,15
29/01/2025;5,713435118;7,728285067;26,32143978;24,57391734;123432,12;12,15
30/01/2025;5,805885525;8,066025031;26,51328701;25,02758966;126912,78;13,15
31/01/2025;5,898335931;8,056091503;26,55165646;25,04439234;126134,94;13,15
03/02/2025;5,759660322;8,056091503;26,48450993;24,89950948;125970,46;13,15
04/02/2025;5,639474793;8,066025031;26,63798771;24,96676001;125147,42;13,15
05/02/2025;5,602494631;8,304429712;26,69554188;25,25257477;125534,07;13,15
06/02/2025;5,704190078;8,25476207;27,00249745;25,35345057;126224,74;13,15
07/02/2025;5,611739671;8,085892088;26,64758007;25,2189495;124619,4;13,15
10/02/2025;5,657964874;8,016357389;26,68594952;25,54679585;125571,81;13,15
11/02/2025;5,722680159;8,304429712;26,91616619;25,89145482;126521,66;13,15
12/02/2025;5,556269427;8,145493258;26,47491757;25,31141898;124380,21;13,15
13/02/2025;5,602494631;8,244828542;26,33103215;25,47954531;124850,18;13,15
14/02/2025;5,916826012;8,413698524;27,57803913;26,07639379;128218,59;13,15
17/02/2025;5,805885525;8,761372016;27,97132595;26,26133275;128552,13;13,15
18/02/2025;5,833620647;8,671970261;28,24950443;26,12351571;128531,71;13,15
19/02/2025;5,630229752;8,602435563;27,68355511;25,88441912;127308,8;13,15
20/02/2025;5,639474793;8,791172602;26,85861202;25,74273226;127600,58;13,15
21/02/2025;5,657964874;8,761372016;26,8394273;25,76929854;127128,06;13,15
24/02/2025;5,648719834;8,622302619;26,67635716;25,45935853;125401,38;13,15
25/02/2025;5,436083899;8,383897939;27,07923634;25,65417797;125979,5;13,15
26/02/2025;5,417593818;8,016357389;26,92575855;25,47706938;124768,71;13,15
27/02/2025;5,321366574;7,907088577;26,82024258;25,75158769;124798,96;13,15
28/02/2025;5,53306651;7,738218595;26,19673909;25,29110537;122799,09;13,15
05/03/2025;5,513821061;7,817686822;26,63798771;25,6966247;123046,85;13,15
06/03/2025;5,128912087;7,837553879;26,59961827;25,63459836;123357,55;13,15
07/03/2025;5,484952888;7,996490332;26,91616619;25,8738428;125034,63;13,15
10/03/2025;5,292498401;7,70841801;26,82983494;25,89156461;124519,38;13,15
11/03/2025;5,071175741;7,450146272;26,5900259;25,72320741;123507,35;13,15
12/03/2025;5,042307567;7,390545102;26,55651729;25,81181646;123863,5;13,15
13/03/2025;5,22513933;7,470013329;26,98849022;26,0599218;125637,11;13,15
14/03/2025;5,456084715;7,539548028;27,37137531;26,99031684;128957,09;13,15
17/03/2025;5,350234747;7,758085652;27,94079416;27,56627566;130833,96;13,15
18/03/2025;5,244384779;7,76801918;27,98006443;27,73020241;131474,73;13,15
19/03/2025;5,302121125;7,678617425;27,8720712;27,92514232;132508,45;13,15
20/03/2025;5,31174385;7,748152123;27,73462527;27,7496964;131954,9;14,15
21/03/2025;5,388725645;7,867354464;27,85243606;27,71070842;132344,88;14,15
24/03/2025;5,263630228;7,668683896;27,8426185;27,7399494;131321,44;14,15
25/03/2025;5,263630228;7,718351538;27,95061173;27,83741936;132067,69;14,15
26/03/2025;5,22513933;7,758085652;28,28440899;27,59374447;132519,63;14,15
27/03/2025;5,119289362;7,738218595;28,16659819;27,60349147;133148,75;14,15
28/03/2025;5,023062119;7,728285067;28,11751036;27,37931057;131902,18;14,15
31/03/2025;4,763248561;7,390545102;27,67571987;27,03816572;130259,54;14,15
01/04/2025;4,69588949;7,370678046;27,8131658;27,02612052;131147,29;14,15
02/04/2025;4,705512215;7,34087746;27,83280093;27,21143134;131190,34;14,15
03/04/2025;4,744003112;7,897155049;27,98988199;27,54304018;131140,65;14,15
04/04/2025;4,561171349;7,599149198;27,46955097;26,92858851;127256;14,15
07/04/2025;4,484189554;7,450146272;27,17502398;26,8310565;125588,09;14,15
08/04/2025;4,416830484;7,470013329;27,12593615;26,8505629;123931,89;14,15
09/04/2025;4,580416798;7,658750368;27,24374694;27,31871655;127795,93;14,15
10/04/2025;4,561171349;7,619016255;27,05721318;27,12365253;126354,75;14,15
11/04/2025;4,503435003;7,817686822;27,29283478;27,45526137;127682,4;14,15
14/04/2025;4,493812279;7,837553879;27,55790907;27,82588302;129453,91;14,15
15/04/2025;4,715134939;7,82762035;27,26338208;28,04045344;129245,39;14,15
16/04/2025;4,772871285;7,758085652;27,14557128;27,95267463;128316,89;14,15
17/04/2025;4,897966702;7,847487407;26,92958482;27,96242783;129650,03;14,15
22/04/2025;4,811362183;8,006423861;27,27319964;28,44033469;130464,38;14,15
23/04/2025;4,965325773;8,284562655;27,52845637;28,98651396;132216,07;14,15
24/04/2025;4,984571221;8,522967336;27,19465911;29,63022524;134580,43;14,15
25/04/2025;5,090421189;8,87;27,49900367;29,51318682;134739,28;14,15
28/04/2025;5,148157535;8,85;27,83280093;29,83504246;135015,89;14,15
29/04/2025;5,109666638;8,79;27,98006443;30,03985969;135092,99;14,15
30/04/2025;5,254007503;8,93;28,40221979;30,31294932;135066,97;14,15
02/05/2025;5,307769441;8,99;28,37276709;30,64245328;135133,88;14,15
05/05/2025;5,327319236;8,93;28,58875355;30,06668744;133491,23;14,15
06/05/2025;5,200245566;8,8;28,37276709;30,00813498;133515,82;14,15
07/05/2025;5,170920873;8,7;28,77528731;30,24234482;133397,52;14,15
08/05/2025;5,219795362;9,31;28,87346298;30,54486585;136231,9;14,65
